houestype,area,unitprice,orientation,floor,zhuangxiucd,estate,region,street,yearbuilt
3室2厅1卫,85.86,12579,北,顶层（共8层）,精装修,美的云熙郡,沙坪坝,西永,无
3室2厅2卫,93,16129,东,低层（共17层）,毛坯,春风与辰,九龙坡,巴国城,2023
2室2厅2卫,103.15,22879,西,中层（共42层）,精装修,江北嘴壹号院西苑,江北,江北嘴,2019
3室2厅2卫,83.7,13740,南北,中层（共13层）,毛坯,居然雅素里,渝北,农业园区,2021
3室2厅2卫,87,15517,南,中层（共8层）,精装修,旭辉·铂宸中央,渝北,空港新城,2021
4室2厅2卫,158,22468,南,中层（共4层）,精装修,华侨城嘉陵江天,渝北,礼嘉,2020
3室2厅2卫,94.5,16931,南,中层（共6层）,毛坯,康田星樾,渝北,中央公园,2023
3室2厅1卫,78.15,14075,西北,中层（共33层）,精装修,首地江山赋,渝北,悦来,2018
3室2厅1卫,85,9059,南,高层（共17层）,毛坯,金地自在城,九龙坡,华岩新城,2023
2室2厅1卫,89.65,13162,北,高层（共31层）,精装修,鲁能星城七街区,渝北,龙头寺,2007
6室4厅6卫,116.12,22218,南,底层地上层数（共2层）,毛坯,俊峰·山万里,沙坪坝,石井坡,2020
3室2厅1卫,86,23837,南,中层（共30层）,精装修,中海寰宇时代,渝北,加州新牌坊,2023
3室2厅2卫,128.86,16918,南,中层（共7层）,精装修,绿地海外滩,江北,鸿恩寺,2019
2室2厅1卫,61.6,12338,东南,低层（共13层）,毛坯,居然雅素里,渝北,农业园区,2022
6室4厅6卫,126,27619,南,底层地上层数（共2层）,毛坯,俊峰·山万里,沙坪坝,石井坡,2022
3室2厅1卫,84.58,18917,南,中层（共32层）,简装修,新希望·D10天际,九龙坡,杨家坪,2023
4室3厅4卫,249,5944,南,底层地上层数（共2层）,毛坯,东亚·白云湖别墅,璧山,璧山高新区,2023
5室2厅3卫,282,18794,南北,底层（共3层）,精装修,龙湖花园南苑,渝北,加州新牌坊,2000
3室2厅2卫,123.94,14281,南,底层（共40层）,中装修,恒大中央广场,江北,江北嘴,2019
4室2厅3卫,236.25,21503,南,中层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
4室2厅2卫,155,17419,西北,低层（共48层）,精装修,龙湖两江新宸森屿,渝北,礼嘉,2019
3室2厅2卫,117,12821,北,低层（共30层）,精装修,龙湖九里峰景,渝北,礼嘉,2019
3室2厅2卫,120,5667,南北,高层（共32层）,精装修,双福时代广场,江津,江津,2021
3室2厅2卫,90.38,7634,南北,高层（共8层）,毛坯,金地自在城,九龙坡,华岩新城,2023
3室2厅2卫,118,16017,南,中层（共8层）,简装修,龙湖景粼玖序,渝北,中央公园,2018
4室2厅2卫,137,11314,南,中层（共28层）,精装修,华侨城天际湾C区,渝北,礼嘉,2020
3室2厅2卫,94,12766,东,中层（共17层）,毛坯,保利拾光年,渝北,悦来,2020
4室2厅2卫,138.49,11553,南北,中层（共6层）,精装修,协信城立方,沙坪坝,大学城,有
3室2厅2卫,100,8100,南,低层（共16层）,精装修,招商雍璟城,渝北,空港,2018
4室2厅2卫,155.45,15954,南,中层（共8层）,简装修,龙湖景粼玖序,渝北,中央公园,2020
5室2厅3卫,284.19,10556,南北,高层（共33层）,简装修,海棠晓月B区,南岸,南坪东路,2005
2室2厅1卫,74,12432,南北,低层（共33层）,精装修,嘉华鑫城,渝中,大坪,2008
3室2厅2卫,101,7921,南,高层（共26层）,毛坯,北城空港天地,渝北,空港,2018
4室2厅2卫,115,16348,南,中层（共8层）,精装修,荣盛华府一期,南岸,茶园新区,2018
4室2厅3卫,236.25,21503,南,高层（共8层）,毛坯,鲁能星城外滩,江北,寸滩,2017
4室2厅2卫,127,16378,南,高层（共8层）,毛坯,北辰·香麓,渝北,中央公园,2021
4室1厅2卫,142.34,13489,南,高层（共18层）,精装修,保利堂悦芷若园,南岸,茶园新区,2018
4室2厅3卫,186,17204,南,中层（共44层）,精装修,中国铁建西派城,江北,海尔路,无
3室2厅2卫,100.72,13503,东南,顶层（共23层）,精装修,美的金科郡二期,沙坪坝,西永,2015
3室2厅2卫,100.79,10815,南,中层（共33层）,简装修,中交中央公园和颂,渝北,中央公园,2018
3室2厅2卫,94,17872,南,低层（共31层）,精装修,金茂国际生态新城,渝北,中央公园,2020
3室1厅1卫,76.05,10519,东,高层（共16层）,精装修,奥园越时代,南岸,茶园新区,2018
4室2厅2卫,137,11314,南北,中层（共5层）,毛坯,协信城立方,沙坪坝,大学城,有
4室2厅3卫,186,17634,西南,低层（共44层）,豪华装修,中国铁建西派城,江北,海尔路,无
4室2厅3卫,270.46,13865,东南,低层（共29层）,精装修,华侨城嘉陵江天,渝北,礼嘉,有
3室1厅1卫,66.18,10577,东,低层（共16层）,简装修,奥园越时代,南岸,茶园新区,2017
4室2厅3卫,186.5,17158,西南,低层（共44层）,精装修,中国铁建西派城,江北,海尔路,无
3室2厅2卫,117,15556,东南,高层（共33层）,精装修,龙湖两江新宸森屿,渝北,礼嘉,有
5室3厅4卫,255.08,23522,东,底层地上层数（共4层）,毛坯,蓝光林肯墅,巴南,李家沱,2017
3室2厅2卫,91,15934,南,高层（共8层）,毛坯,北辰·香麓,渝北,中央公园,2021
3室2厅1卫,84,15714,南,中层（共26层）,精装修,鲁能城中央公馆,渝北,中央公园,2020
5室3厅3卫,221.38,27103,东,底层地上层数（共4层）,毛坯,蓝光林肯墅,巴南,李家沱,2017
3室2厅2卫,134,13433,东南,低层（共33层）,中装修,珠江国际,江北,北滨路,无
6室3厅5卫,357.7,20688,南,底层地上层数（共1层）,精装修,约克郡翠薇堤,渝北,照母山,
5室3厅5卫,240.44,18217,南,底层地上层数（共3层）,豪华装修,鲁能领秀城别墅,南岸,茶园新区,2014
4室2厅2卫,169.51,20058,东南,低层（共17层）,精装修,龙湖·尘林间,渝北,照母山,2020
4室2厅2卫,129,14729,南,高层（共15层）,精装修,保利时区,渝北,悦来,2022
6室2厅2卫,218.21,12832,东,中层（共48层）,精装修,龙湖两江新宸森屿,渝北,礼嘉,无
5室2厅3卫,192.08,22803,东北,中层（共35层）,毛坯,金辉长江铭著,南岸,铜元局,2017
4室2厅2卫,119,8235,南,低层（共17层）,简装修,瀚学融府,渝北,龙兴,2018
3室2厅2卫,117,12821,北,低层（共30层）,精装修,龙湖九里峰景,渝北,礼嘉,2019
4室2厅2卫,129,14729,南,高层（共15层）,精装修,保利时区,渝北,悦来,2022
4室2厅2卫,127,16378,南,高层（共8层）,毛坯,北辰·香麓,渝北,中央公园,2021
3室2厅2卫,118,16017,南,中层（共8层）,简装修,龙湖景粼玖序,渝北,中央公园,2018
5室2厅4卫,250.66,21543,东北,高层（共31层）,精装修,寰宇天下观澜苑A区,江北,江北嘴,无
4室2厅2卫,123,12195,北,高层（共41层）,精装修,东原旭辉江山樾,渝北,礼嘉,有
3室2厅1卫,87,8046,南,中层（共32层）,毛坯,洺悦城,巴南,鱼洞,2020
4室2厅3卫,142.19,15121,南,中层（共4层）,精装修,保利堂悦芷若园,南岸,茶园新区,2018
4室2厅2卫,144.13,13738,东,底层地上层数（共2层）,毛坯,庆隆南山高尔夫玺馆,南岸,茶园新区,2018
4室2厅2卫,140,12500,南,中层（共18层）,毛坯,保利堂悦薇园,南岸,茶园新区,2018
3室2厅2卫,83,15060,南,中层（共8层）,精装修,中建启宸,沙坪坝,西永,2023
4室2厅3卫,167,21317,南,高层（共47层）,豪华装修,凯德九章,渝北,冉家坝,2021
4室2厅2卫,128,13125,南,中层（共8层）,毛坯,保利堂悦棠园,南岸,茶园新区,2018
3室2厅2卫,84.14,9389,南,高层（共13层）,精装修,美好·天赋,江北,寸滩,2021
2室2厅1卫,64.66,9743,北,中层（共33层）,精装修,鲁能星城十三街区,渝北,龙头寺,2017
3室1厅1卫,99,15960,南北,中层（共18层）,精装修,卓越天元,南岸,南坪,2023
3室2厅2卫,92.38,10392,南北,高层（共8层）,毛坯,金地格林春岸,大渡口,九宫庙,2022
4室2厅2卫,143,15524,南北,中层（共32层）,精装修,中交中央公园,渝北,中央公园,2022
2室2厅1卫,83.1,15403,东南,中层（共32层）,中装修,华宇渝州新都,渝中,大坪,无
2室2厅1卫,61.6,12338,东南,低层（共15层）,毛坯,居然雅素里,渝北,农业园区,2022
4室2厅2卫,274.97,9383,南,底层地上层数（共2层）,毛坯,庆隆南山高尔夫国际社区橘香郡,南岸,茶园新区,2015
5室2厅5卫,237,7553,东,底层地上层数（共4层）,毛坯,龙兴国际生态新城别墅,渝北,龙兴,2020
3室2厅2卫,97.5,10051,南北,低层（共8层）,毛坯,新城悦隽风华,沙坪坝,大学城,有
7室3厅5卫,366.81,17448,南,底层地上层数（共3层）,毛坯,重庆中海峰墅,南岸,南滨路,2016
3室2厅1卫,80.83,8908,南北,低层（共22层）,精装修,旭阳台北城三期,沙坪坝,大学城,有
3室2厅1卫,85,12353,南,低层（共13层）,精装修,招商·渝天府,沙坪坝,沙坪坝其他,2020
4室2厅3卫,125.92,12548,南,底层（共3层）,毛坯,新山和悦,渝北,回兴,2020
3室2厅1卫,91,15385,北,高层（共33层）,精装修,华侨城天际湾B区,渝北,礼嘉,有
3室2厅2卫,83,15422,南,中层（共8层）,毛坯,泷悦长安,沙坪坝,西永,2020
2室2厅2卫,180.78,14825,南,低层（共3层）,毛坯,保利堂悦杏园,南岸,茶园新区,2018
3室2厅2卫,91,15385,南,中层（共6层）,毛坯,东原月印万川,渝北,中央公园,2022
4室2厅2卫,90.54,13917,南北,高层（共7层）,毛坯,协信城立方揽院,沙坪坝,大学城,有
3室2厅2卫,84,10000,南,高层（共13层）,精装修,美好·天赋,江北,寸滩,2021
3室2厅2卫,139,22158,东,底层（共5层）,精装修,天骄公园一期,渝北,大竹林,2018
3室2厅2卫,146,13699,西北,中层（共20层）,精装修,珊瑚水岸,南岸,南滨路,2008
